Date,sourceelementkey
2022-04-29,1013
2022-08-22,1013
2022-04-29,1014
2022-08-22,1014
2022-05-03,1017
2022-05-03,1018
2022-05-03,1021
2022-05-03,1022
2022-05-05,1037
2022-05-05,1277
2022-05-05,1278
2022-05-05,1281
2022-04-27,1601
2022-04-19,1617
2022-04-19,1618
2022-04-27,2085
2022-05-05,2793
2022-05-05,2797
2022-05-05,2798
2022-09-06,3081
2022-09-06,3082
2022-09-06,3337
2022-09-06,3338
2022-09-06,3341
2022-09-06,3342
2022-05-05,4445
2022-05-05,4581
2022-05-05,4582
2022-04-22,5802
2022-05-09,6170
2022-05-09,6174
2022-05-09,6178
2022-05-09,6186
2022-05-05,6357
2022-05-05,6358
2022-05-09,7250
2022-05-03,7257
2022-05-03,7258
2022-05-03,7261
2022-05-03,7262
2022-05-05,7273
2022-05-05,7274
2022-05-05,7277
2022-05-05,7278
2022-04-26,7397
2022-09-01,7397
2022-04-26,7398
2022-09-01,7398
2022-04-29,7989
2022-08-22,7989
2022-04-29,7993
2022-08-22,7993
2022-05-03,7997
2022-08-19,7997
2022-05-03,8001
2022-08-19,8001
2022-05-03,8002
2022-08-19,8002
2022-05-05,8013
2022-05-05,8018
2022-04-26,8097
2022-09-01,8097
2022-04-26,8098
2022-09-01,8098
2022-04-26,8101
2022-09-01,8101
2022-04-26,8102
2022-09-01,8102
2022-05-03,8249
2022-08-19,8249
2022-04-26,8301
2022-09-01,8301
2022-04-26,8302
2022-09-01,8302
2022-04-26,8305
2022-09-01,8305
2022-04-26,8306
2022-09-01,8306
2022-08-25,8369
2022-08-25,8377
2022-04-29,8386
2022-08-22,8386
2022-05-03,8389
2022-08-19,8389
2022-04-26,8541
2022-09-01,8541
2022-04-26,8542
2022-09-01,8542
2022-09-06,9109
2022-09-06,9110
2022-09-06,9113
2022-09-06,9114
2022-09-06,9141
2022-09-06,9142
2022-05-03,9277
2022-05-03,9278
2022-05-03,9349
2022-05-03,9350
2022-05-03,9353
2022-05-03,9354
2022-05-03,9357
2022-05-03,9358
2022-04-27,9509
2022-08-25,9697
2022-08-25,9702
2022-05-09,9769
2022-05-09,9770
2022-08-25,10877
2022-08-25,11018
2022-05-09,11118
2022-05-05,11129
2022-05-05,11130
2022-05-03,11397
2022-05-03,11398
2022-08-25,11598
2022-05-09,11665
2022-08-25,11673
2022-08-25,11674
2022-04-26,11717
2022-09-01,11717
2022-04-26,11718
2022-09-01,11718
2022-05-05,11766
2022-05-05,11770
2022-08-25,11865
2022-08-25,11866
2022-08-25,11869
2022-08-25,11870
2022-04-29,12046
2022-08-22,12046
2022-04-29,12205
2022-08-22,12205
2022-04-29,12206
2022-08-22,12206
2022-05-05,12282
2022-05-05,12285
2022-04-22,12401
2022-04-22,12402
2022-04-19,12601
2022-05-05,12673
2022-04-29,12873
2022-08-22,12873
2022-04-29,12874
2022-08-22,12874
2022-04-29,12878
2022-08-22,12878
2022-09-06,13045
2022-09-06,13046
2022-05-05,13061
2022-05-05,13062
2022-08-25,13082
2022-08-25,13086
2022-04-29,13185
2022-08-22,13185
2022-04-29,13186
2022-08-22,13186
2022-04-29,13189
2022-08-22,13189
2022-04-29,13190
2022-08-22,13190
2022-04-27,13209
2022-04-27,13210
2022-04-27,13213
2022-04-27,13214
2022-05-03,13301
2022-05-03,13302
2022-05-03,13305
2022-05-03,13306
2022-05-03,13309
2022-05-03,13313
2022-08-19,13313
2022-05-05,13445
2022-05-03,13517
2022-05-03,13545
2022-08-19,13545
2022-05-03,13546
2022-08-19,13546
2022-04-27,16941
2022-04-27,16942
2022-09-06,18621
2022-09-06,18622
2022-09-06,19482
2022-09-06,19485
2022-09-06,19486
2022-09-06,19489
2022-04-22,20185
2022-04-22,20186
2022-04-26,20841
2022-09-01,20841
2022-04-26,20842
2022-09-01,20842
2022-04-26,20845
2022-09-01,20845
2022-04-26,20846
2022-09-01,20846
2022-05-05,23622
2022-05-05,23877
2022-05-05,23878
2022-05-05,23881
2022-05-05,23937
2022-05-05,23938
2022-05-03,24037
2022-05-03,24038
2022-05-05,24058
2022-05-05,24265
2022-05-05,24266
2022-04-27,24585
2022-04-19,24606
2022-04-29,25697
2022-08-22,25697
2022-04-29,25701
2022-08-22,25701
2022-04-29,25702
2022-08-22,25702
2022-05-03,25705
2022-05-03,25706
2022-05-03,25709
2022-05-03,25710
2022-05-05,25817
2022-05-05,25818
2022-05-05,27429
2022-04-22,28581
2022-04-26,30189
2022-09-01,30189
2022-04-26,30194
2022-09-01,30194
2022-05-09,30685
2022-04-29,30697
2022-08-22,30697
2022-04-29,30698
2022-08-22,30698
